,id,screen_name,followers_count,name,friends_count
117,44171487,GoSUparttime,958,University College of Syracuse University,137
118,259784927,BostonBizEvents,1737,Boston Biz Events,1464
119,42991840,DamnedbyChoice,359,Paul,647
120,148373729,curtstager,485,Curt Stager,71
121,531497189,elliemae0404,7421,E Devoe 🇺🇸,7768
122,284557542,MarleneCarrero,729,Marlene,170
123,156500199,AmourEnchante,466,TH 🤫,482
124,299761896,WilliamFHolman,29757,William Holman,747
125,106430697,PresBabeLincoln,548,Babe Lincoln,1118
126,39452905,lil_red_man,648,Rob Madden,802
127,207880426,Frankenbass,153,Frankie Echavez,268
128,248774892,Craig_Rupp,1595,Craig Rupp,1457
129,103678189,ChurchChizzle,4427,Church Chizzle,1062
130,15335662,DanaGoldstein,24253,Dana Goldstein,3031
131,38404334,amish_man,1663,Tim Munn (H),2413
132,818020591,shelblaufersky,1842,shelbs,609
133,259522800,CristinaOpina,141086,Cristina Saralegui,66
134,192676084,_URBN_,134,URBN.,52
135,286785782,BrianOverlan,98,Brian Overlan,581
136,15335670,free_styler,1336,Georgiana Bloom,1383
137,786681,steyblind,1537,Pete Karl II 🤖,826
138,232390910,OfficialChris_S,627,Christopher🇭🇹,305
139,328204542,_Burciner,292,Eric Burcin,126
140,65667328,helencompton,1118,LIL STOOP,726
141,330432766,siwel_nahte,667,Too Far Ethan,0
142,195952898,LTCLowell,1398,LTC.org,661
143,445251843,JohnFosterWay,3360,John Foster Way,3379
144,44826886,Diy_bEatZ,386,D.I.Y_bEatZ™,984
145,5898502,BOSSY,4569,Georgia Getz,23
146,81002760,adamchaves,155,Adam Chaves,175
147,16908553,24fanallday,1066,Colleen Dunn Kenyon,1915
148,67109130,YorkUnews,21428,York University News,2687
149,3539211,colourandlight,1004,Erin,745
150,27787530,wxgator,5396,Jim Loznicka,1275
151,16908562,FarmSanctuary,109167,Farm Sanctuary,8430
152,18612497,nycnatalie,449,NYCnatalie,739
153,14287124,ayacullo,1744,Anthony,2114
154,19792149,BlitzBoston,980,Blitz Media,1466
155,23462168,Allia_SG,4234,IG: OfficialAllia,1767
156,344457497,GlocksB4Cocks,889,tʜuɢ mıstʀess ™✨,903
157,53739803,HakeemTey,26155,HakeemTey,17581
158,221774103,Borland_F3,798,Judson Root,761
159,33685789,CyClause,5076,NClause,5236
160,15073565,eliasguerra,783,Elias Guerra,543
161,140902689,YonkersPD,4304,Yonkers Police HQ,67
162,92143906,Chr1s__Br0wn,526,Chris Brown,397
163,371589411,Jackyy_Ox3,512,jacky,435
164,291,goldman,994152,Jason Goldman,453
165,461635875,f1_InvJackie,2188,Jackie©️,4999
166,515637543,laurenmowrer,538,Lauren Mowrer,971
167,17695016,NYFarmer,26010,NYFarmer,28647
168,41812263,RegG4L,3405,H.I.M. 👤,709
169,29753645,Matt_Sully,2844,Sully,807
170,7209262,shaneSnipes,36770,Shane Snipes,12876
171,103678257,KnowMeLea,11469,Nomi Leasure,434
172,36045107,JoelGibbel,613,Joel Gibbel,1548
173,16908597,itsJDew,2237,JDew,249
174,572129589,sroberts1971,9468,Stacey Roberts,10412
175,53870902,GhostTvBlogs,2308,Ghost Tv Blogs,1920
176,20316473,Jordan_Pack,1374,Jordan Pack,1448
177,59507002,Stephen_Sawchuk,24295,Stephen Sawchuk,811
178,94896443,MelCam91,136,Melissa Anne,360
179,175636798,________bre,484,Niz,433
180,912785731,brn_jy,188,Jaye,658
181,291504456,flawlesssj,1917,🦄,1168
182,34079049,iabadra,1157,Nena,1307
183,717750602,ESGOM5150,1142,Erik Gómez,2262
184,31195469,KeifferMitchell,7131,Keiffer Mitchell,3395
185,301728079,caraconda_,1696,Cara Jean,1182
186,595722578,TimBuckleyWX,6489,Tim Buckley,2114
187,17695059,ohjoshtomlinson,122,josh tomlinson,49
188,349438290,TasVolvo,114,Tassos Panas,33
189,146669907,Super_YB,252,YB,228
190,131465556,marinajholland,2453,Marina 🌱,954
191,287703379,ProfHolloway,10681,karla fc holloway,949
192,388628818,Barry_Yeoman,2845,Barry Yeoman,983
193,63701337,vanessabrink,89,vanessa,32
194,405274970,kbowlez,168,Katie,346
195,63832411,GRSolutions,2097,Grassroots Solutions,993
196,403177820,shellshockerrr,217,Shelby,132
197,262493,Brunocerous,803,Brunocerous,1686
198,96207195,westchesterproj,1242,Westchester Project,558
199,222953824,TwitterGov,2452399,Twitter Government,28
200,134742367,sammyyy9775,581,sammy lynn,1685
201,63570275,_AmandaBrittney,801,Miss,1236
202,814219621,kaylee_beers,358,✨,590
203,28574054,ShadiArjomand,1903,Toronto Real Estate,1029
204,15860069,OrlandoKen,4935,Ken DeGilio,4212
205,61342056,OptionsHawk,56889,Joe Kunkle,445
206,16122216,phillyinsider,26685,Michael Klein,1445
207,364,graysky,3919,Mike Champion,1050
208,331612525,StLaurentDom,3931,Big Titty Boi,2482
209,248250734,JakeShepherd14,996,Jake Shepherd,464
210,246546799,_queennnb,1071,Briana Skilynn ✨,1643
211,34079088,carlosgil83,44879,Carlos Gil,3975
212,229114225,MorningExp,74660,Morning Express with Robin Meade,378
213,173539698,MDaniel21,963,Mark2-D2,447
214,394527091,Samantha_Blackk,387,Samantha Black,0
215,17301876,betzwhite,6249,betzwhite,1630
216,307888500,RockyfellerGOP,949,Nelson Rockyfeller,2183
217,827851117,MaximoffsWolves,4163,E,2385
218,348127611,karyssajamieexo,8476,♔,7727
219,390332796,NYUCWP,7632,NYU Creative Writing,1376
220,236061053,K416__,733,KM,467
221,196608381,JeremyDHolden,518,Jeremy Holden,464
222,48365949,LobbyistsInfo,1933,LobbyistsInfo,606
223,30540161,SaraYazdanfar,2155,Sara Yazdanfar,285
224,476447107,derrickplant3,1242,yungxan,1696
225,137494919,cxsxblxncxs,2103,🔥CXSXBLXNCXS🔥,1176
226,511967624,Waleska163,91832,Pinky163,91476
227,49414537,stephanienineT4,37427,Stephanie Devilliers,528
228,71172490,ConservativeBro,3857,Wayne  Bradley,585
229,128057739,ellemarie5,637,elle.,643
230,308019592,alexyargote,398,Alexy Argote,271
231,45220237,thejlm,528,J McVay,1539
232,261095825,justineeymac,306,Justine Michele,272
233,352059794,MillyMae4,1141,Nanci Shipman,1930
234,151912850,VisitMariettaOH,1584,Visit Marietta Ohio,639
235,400294294,birrdytalk,9357,judyjewell,9923
236,223609241,AngeliqueeRenee,619,Angelique Johnson,579
237,368574877,flookem_vic,1081,VIC,801
238,263192990,FAMUCOLALUM,243,FAMU COL ALUMNI,327
239,18743710,MOTT7,9531,jimmyb✝🇺🇸,9077
240,15073693,glgray,660,⚙️Gary L. Gray,455
241,2228641,femiran,3004,Leila Mouri  لیلا,230
242,261882274,myPPK,12062,Power Press Kits™,13270
243,418,dens,85660,Dennis Crowley,2576
244,877003172,The_WxExpert,1067,🌪 TWISTEX🌪,1696
245,516817316,CharleneCzapla,698,Charlene Czapla,0
246,30540196,dannosowitz,3587,Dan Nosowitz,436
247,36438444,Reblogga,1097,Rebecca Ferrer,1026
248,14156206,keithshoe,2260,Keith Shoemaker  Realtor,3847
249,557449649,truthmashup,2743,Vince Kesavamoorthy,2328
